audio_file,text,gender
04HTH0_314.mp3,أحيانًا، لو لا قدّر الله، حصل اصطدام،,male
00x68G_697.mp3,وكده عشان انت بتحط في مواقف انك تنزل,male
04m0cQ_852.mp3,ومشينا,male
027PYP_1114.mp3,كل حاجه مره بقى عربي سول,male
06UK7q_276.mp3,فمثلًا، كان الحُكام والإقطاعيين من عاداتهم,male
09Mlen_309.mp3,"فما بقاش الإنسان ملزم يقدّم المساعدة
للفُقرا اللي جنب بيته،",male
05mvIa_442.mp3,بيدّي إشارة للذاكرة إن خلاص، Done،,male
07gNyN_347.mp3,اول ما يبقى فيه ماتش بروح الاستاد اركب,male
085rZg_625.mp3,في ناس ابتدت تعمل شويه احصائيات بس برضو,male
00J0hu_121.mp3,حوالي 2 مليون و 300000 شاب في امريكا,male
04CFee_98.mp3,بختصرها مثلا تكون جت منين كذا دي ه كون,male
03uCKF_118.mp3,الجي بي اس شيف شاوني دي مدينه هناك عشان,male
05GqVe_134.mp3,وكل واحد اللي بخمسه واللي ب 12 واللي ب,male
01hp9E_1052.mp3,ابراهيم فاق بالمناسبه ده ده دي دعوه,male
05Cvm7_1071.mp3,تقريبا ارى انا هساله في ايه احنا بقى بقي,male
03j7yM_1268.mp3,هو لا مش مشته انت تروح بقى هوديك ما هو,male
05LgyZ_1307.mp3,وقعدنا وهزرنا وضحكنا وجايبين في عيش,male
02gjDQ_452.mp3,"خلّيني الأول آخدك
في رحلة Interesting أوي مع مخ الإنسان،",male
01lQgg_455.mp3,"الاحتياج هنا هو البحث
عن حالة السعادة المتخزنة في الذاكرة،",male
04zPJJ_140.mp3,انقراض الديناصورات اللي كثير من العلماء,male
05mj1F_162.mp3,الثانيه على التوالي اشمعنى النا زكت هو,male
07ZysE_41.mp3,الاقل هتطلع لك من حياتك خمس ست علاقات مش,male
05JvJM_39.mp3,وهذول المهن بدهم عم نحكي عن دول مثل,male
007VkI_169.mp3,الغرب الذي استغلكم عن روسيا ما اثرت,male
01y2PF_148.mp3,دلوقتي نا فوق,male
05xtaX_269.mp3,عيني جت على البتاع ده ومعايا صاحبتي بقول,male
05bt8r_439.mp3,عايز عمل حاجه عملهاش خلاص خلاص بس انا,male
03g3fj_673.mp3,ماشيه فهم كان ق موها يعني قال قالوا لها,male
01yH5m_770.mp3,بتتصلح بس كان في عرف بيني وبين اخويا ان,male
06WduA_1182.mp3,كده ما هو كده كده كده نور السلم والع بس,male
00gPgr_1398.mp3,ممكن ما تاكلهم ش بتوع الشارع ويحبك حب,male
03rpgy_1418.mp3,وع الحاضرين قول,male
05jRTs_564.mp3,يزعقولك فبتروح تقول لي فلان,male
01UajN_628.mp3,ربنا تحس انه ما ينفعش لا هو ينفع يقدر,male
06ti9o_86.mp3,بيشتكي من بدري بقول له بولا اصحى الساعه,male
07JhmZ_691.mp3,شايفه عرقان على ادوار كتير ومش عارف ايه,male
05epqA_312.mp3,يعني مثلاُ، فيلم End Game،,male
01cD03_71.mp3,مثل ما سموه وانذكر انه مياه الانهار,male
07CH2X_391.mp3,بقتال بجبل لبنان بين الدروس والموارنه,male
08NZE1_521.mp3,مدن العالم للمعيشه وصاروا سكانها عم,male
05xiTf_213.mp3,"فالمماليك اللي هناك
اتسموا ""المماليك البحرية""،",male
04sN75_500.mp3,"ويتولى مكانه الأمير المملوكي الأقوى،
""المنصور قلاوون"".",male
00vyrm_72.mp3,بروح جميله وبتبتدي الروح دي تندثر حبه,male
026Kjx_103.mp3,هم المتدينين اللي هم بس بنجر كده فينا,male
02Eufz_234.mp3,بتحاول تقنع نفسك ان انا هسيب الكاربس في,male
04158S_323.mp3,"لا أنا عارف أنت داخل علي أنت
الدخلة واحدة واحدة ماشي",male
06IjP2_330.mp3,واحدة من صحابي الكويسين أوي,male
07vPDt_387.mp3,فالأمل موجود,male
068eHa_1156.mp3,"دايما قوتهم الأساسية إن هما
بيعرفوا يبيعوا الرؤية بتاعتهم",male
07ZY4k_1293.mp3,بتقدر تتحكم فيه,male
022lpP_1518.mp3,العيان يعيا,male
06qrty_1900.mp3,"أن أنا جزء من اللي أنا
بعمله برضو أن أنا بس على جزء",male
01YsPL_1993.mp3,"سؤال تاني على
نفس المشروع الجديد",male
03ykIe_74.mp3,هانت يعني كم ساعه ان شاء الله اكثر سبب,male
06Zv05_100.mp3,الوحيد بالبيت ومو انت بتختار على شو بدك,male
01uN6J_133.mp3,السبب الاول لاختلاف رمضان زمان عن رمضان,male
06cOqq_244.mp3,مسلسلات مثل عمر بن عبد العزيز ال 95 عصر,male
086iUD_10.mp3,!Bravo,male
04AjeN_733.mp3,بحث كل السنين دي كانت بتحصل تخيل بعد كل,male
03mvVk_762.mp3,وانا بالنسبه لامي انا مش راجع فدائما,male
06RdFk_10.mp3,يعني ما فرحتش لحظة قبل كدا؟,male
03FO33_274.mp3,كده على الباب,male
03c0tq_378.mp3,يعني تقعد تقول عليهم حاجات علشان ما,male
02zn79_432.mp3,[موسيقى],male
078Dgj_840.mp3,بقى خلاص بقى وبشحن بقى,male
05btQB_942.mp3,يعني انتم خلصت الوجبه,male
018oKk_488.mp3,"فلو انت طوّلت معاها هي لوحدها
زيادة عن اللازم،",male
08Cnqa_293.mp3,الحلقات السابقه شوفوا المصادر وانتظروا,male
07wUpH_69.mp3,الاطفال اللي في بيت الراجل ده مستولين,male
07d2xD_107.mp3,في انك تطلع معان حلقه وانك طلعت معانا,male
07LX1V_205.mp3,بتقوللي بص انت تيجي تعمل الدور ده لو,male
03MkrB_290.mp3,تبقى اللي هو داخل مين فيكم حصل له,male
00ajKt_595.mp3,والكس في,male
08kj9A_635.mp3,مين خليش اديك واحده من,male
01gdyf_703.mp3,كذا عشان يبان ان ده حركه طبيعيه بتحصل في,male
07fMxS_1804.mp3,كتير تمام انا بتفرج على ماما كتير وتمام,male
08fKHt_2199.mp3,بيبصولك مش دي حاجه حلوه فراحت قالت لي لا,male
09IeEA_863.mp3,انغام زر خلاص ما هو بيظبط,male
05WnLw_117.mp3,عاد معتذرا يا حبيبي هذا فخوره,male
05BzsD_237.mp3,وموسى ان شاء الله لما باذن الله نوصل لها,male
03dQq5_87.mp3,اللي بيتكلموا عليه,male
05FiNm_309.mp3,لو مش موجود هتشقى والله العظيم لان,male
01kOfp_182.mp3,ان ماثيو بيقول الكوليز ذا بيج تريبل ين,male
07HMGa_323.mp3,تستغربش قوي ان اقبل على الانتحار نتيجه,male
05fAh9_104.mp3,"بينما الجنود هما اللي كانوا
ماشيين على الأقدام.",male
06dZsS_414.mp3,هنرجع لسنة 1928.,male
095Qw9_92.mp3,اس اختصار ل برايمري بروجريسيف مالتيبل,male
03yNqf_211.mp3,الصين كمان الشله كلها مجلس قياده,male
